"txtDepartment";"txtCategory";"boxQuestion";"boxAnswer"
"
"Assessor`s Office";"F) Public Service";"What Causes Your Taxes To Change?";"They change when either your tax rate changes or your assessed value changes. Your assessed value can change because of a boundary change, new construction, a change in use, reappraisal or factoring. 
<UL>
<LI>Boundary changes occur when old parcels are either subdivided or combined.

<LI>New construction includes new buildings, additions, remodeling, etc.

<LI>Changes in use are, for example, a change from residential use to office or retail use. 

<LI>Reappraisal or factoring is done to keep values up to date with changes in individual properties, local and neighborhood trends, and inflation or recession.
</LI></UL>
"
"Assessor`s Office";"F) Public Service";"How Often Can Your Assessed Value Change?";"Annually. Each year, all properties will either be reappraised or their previous assessed value will be factored using factors established or approved by the Nevada Tax Commission
"
"Assessor`s Office";"F) Public Service";"What If Something Happens To Your Property?";"If your property has been removed, or severely damaged by a disaster such as a landslide, flood, etc. please contact the AssessorÂ’s Office so that we can correct your assessed value.
"
"Assessor`s Office";"F) Public Service";"What If You Disagree With Your Assessed Value?";"When the tax roll is completed each November, value change notices are sent to all taxpayers. If you have a question, you may call the Assessor`s Office or come in and talk to an appraiser. If we are unable to resolve your concern you may appeal to the  County Board of Equalization . If you are still not satisfied, you may appeal to the <a href=\"http://tax.state.nv.us/DOAS_SBOE_New.html\"> State Board of Equalization</A>, and, thereafter, through the Court System. Any of theses bodies may adjust your assessed value. Appeals to the County Board of Equalization must be filed at the Assessor`s Office no later than January 15th.
"
"Assessor`s Office";"F) Public Service";"What should I do if my mailing address has changed?";"The Treasurer`s Office maintains the mailing address information used by our office.
The owner of a property can request a change of mailing address for your property taxes by:

Mail: Washoe County Treasurer P.O. Box 30039 Reno, NV 89520

Be sure to write legibly and include: your name, property address/parcel number, current mailing address, new mailing address, your signature.

Email: tax@washoecounty.us

Fax: (775) 328-2500

<a href=\"http://www.washoecounty.us/treas/mailingaddresschangerequest.htm\">Use our online form</a>
"
"Board of County Commissioners";"District One";"What is my County District?";"Your District is determined by your home address. To find out which district you reside in, go to the front page of the Washoe County Website and enter your address under \"Property at a Glance\".  The \"District Info\" tab will tell you your Commission District.  If you are still unsure, the County Registrar can help. Call 775.328.3670 to determine your district."
"Building and Safety";;"What Days and Hours is the Washoe County Dept. of Building and Safety Open?";"The Washoe County Dept. of Building and Safety is currently open Tuesday through Friday.  We are currently closed on Mondays

Our hours are from 7:30 am to 12:00 pm and from 1:00 pm to 4:30 pm.
Please Note that any permits that require a monetary transaction must be completed by no later than 4:00 pm."
"Building and Safety";;"Why Do I Need To Obtain A Building Permit?";"The purpose of a building permit is to control the quality of construction to help insure that Washoe County continues to be a safe, beautiful area in which we all can live, work and play.  Also, the evidence of a building permit is often necessary to obtain financing from a lending agency and may be required to close a sale of your property to show that any improvements that have been made are in compliance.  Fire and liability insurance damage may also not be paid in some cases where improvements have been made without a permit."
"Building and Safety";;"What Building Codes does the Washoe County Building & Safety Department currently follow?";"2006 International Building Code
2006 International Residential Code
2006 Uniform Plumbing Code
2006 Uniform Mechanical Code
2005 National Electrical Code
2006 International Existing Building Code
2006 International Energy Conservation Code"
"Building and Safety";;"What Work Would Not Require A Building Permit?

";"Permits shall not be required for the following:

1) Fences not over 30 inches in height.
Repair or replacement of fences less than 100 linear feet long. 

2) Oil derricks.

3) Movable cases, counters and partitions not over 5 feet 9 inches high.

4) Retaining walls that are not over 4 feet in height measured from the bottom of the footing to the top of the wall, unless supporting a surcharge or impounding Class I, II or III-A liquids.

5) Patios, walks and driveways constructed of concrete or asphalt on grade without foundations and not over any basement or story below and not creating land coverage as defined by the TRPA. 

6) Painting, papering tiling, carpeting, cabinets, counter tops and similar finish work.
Temporary (not to exceed 180 days) motion picture, television and theater stage sets and scenery.

7) Window awnings supported by an exterior wall which do not project more than 54 inches (1372 mm) from the exterior wall and do not require additional support of Group R-3, as applicable in section 101.2, and Group U occupancies. In the Incline Village area, window awnings also must not be visible from a TRPA defined scenic corridor.

8) Prefabricated swimming pools accessory to a Group R-3 occupancy as applicable in section 101.2, which are less than 24 inches deep,does not exceed 5,000 gallons (18925 L) and are installed entirely above ground. In the Incline Village area, the pool must also not create land coverage as defined by TRPA.

9) Decks not exceeding 30 inches (762 mm) above grade, except decks at Incline Village. All decks at Incline Village require a building permit pursuant to Washoe County Code 110 and TRPA requirements.

10) Wire fencing for agricultural use on parcels larger than 1 acre when required set backs are maintained.

11) Siding applied over existing siding.
One story detached accessory buildings used as tool and storage sheds, playhouses and similar uses, provided the floor area does not exceed 120 square feet and the location is within the setbacks defined in Washoe County Code 110 (Community Development Code) and does not house any utility equipment. In Incline Village area, the building must also not create land coverage as defined by the TRPA.
Roofing repair if the roof is less than 100 square feet or still under its one year warranty.

12) Door and window replacement when the opening size and location remain the same.

13) Water tanks supported directly on grade if the capacity does not exceed 5,000 gallons (18925 L) and the ratio of height to diameter or width does not exceed 2 to 1.

Electrical:

1) Repairs and maintenance:  Minor repair work, including the replacement of lamps or the connection of approved portable electrical equipment to approved permanently installed receptacles.

2) Radio and television transmitting stations:  The provisions of this code shall not apply to electrical equipment used for radio and television transmissions, but do apply to equipment and wiring for power supply, the installation of towers and antennas.

3) Temporary testing systems:  A permit shall not be required for the installation of any temporary system required for the testing or servicing of electrical equipment or apparatus.

Gas:

1) Portable heating appliance.

2) Replacement of any minor part that does not alter approval of equipment or make such equipment unsafe.

Mechanical:

1) Portable heating applicance.

2) Portable ventilation equipment.

3) Portable cooling unit.

4) Steam, hot or chilled water piping within any heating or cooling equipment regulated by this code.

5) Replacement of any part which does not alter its approval or make it unsafe.
Portable evaporative coolers.

6) Self-contained refrigerant system containing 10 pounds (4.5 kg) or less of refrigerant and actuated by motors of 1 horsepower (746 W) or less.

Plumbing:

1) The stopping of leaks in drains, water, soil, waste or vent pipe provided, however, that if any concealed trap, drain pipe, water, soil, waste or vent pipe becomes defective and it becomes necessary to remove and replace the same with new material, such work shall be considered as new work and a permit shall be obtained and inspection made as provided in this code.

2) The clearing of stoppages or the repairing of leaks in pipes, valves or fixtures, and the removal and reinstallation of water closets, provided such repairs do no involve or require the replacement or rearrangement of valves, pipes or fixtures.

Notice: Exemption from the permit requirements of this code shall not be deemed to grant authorization for any work to be done in any manner in violation of the provisions of this code or any other laws or ordinances of this jurisdiction.

"
